"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","570","User list response schema is valid","chrome","Mon May 25 08:48:42 UTC 2026","failed","Mon May 25 08:48:43 UTC 2026","ReqRes JSON schema validation","api/reqres.schema.spec.js","",""
"","578","Successful login with valid credentials","chrome","Mon May 25 08:48:39 UTC 2026","failed","Mon May 25 08:48:40 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","479","Patch a user job field","chrome","Mon May 25 08:48:42 UTC 2026","failed","Mon May 25 08:48:43 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","488","500 error from external endpoint","chrome","Mon May 25 08:48:42 UTC 2026","passed","Mon May 25 08:48:43 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
"","551","Failed login with invalid email returns 400","chrome","Mon May 25 08:48:42 UTC 2026","failed","Mon May 25 08:48:43 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","454","Get single user by ID","chrome","Mon May 25 08:48:46 UTC 2026","failed","Mon May 25 08:48:46 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","457","Read user list and verify response time","chrome","Mon May 25 08:48:45 UTC 2026","failed","Mon May 25 08:48:45 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","606","User detail response matches schema","chrome","Mon May 25 08:48:39 UTC 2026","failed","Mon May 25 08:48:40 UTC 2026","ReqRes JSON schema validation","api/reqres.schema.spec.js","",""
"","578","Failed login with missing password returns 400","chrome","Mon May 25 08:48:41 UTC 2026","failed","Mon May 25 08:48:41 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","566","404 on missing user returns empty body","chrome","Mon May 25 08:48:39 UTC 2026","failed","Mon May 25 08:48:40 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
"","458","Failed registration with missing password returns 400","chrome","Mon May 25 08:48:45 UTC 2026","failed","Mon May 25 08:48:45 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","550","Create a new user and verify response","chrome","Mon May 25 08:48:39 UTC 2026","failed","Mon May 25 08:48:40 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","458","Successful registration with valid credentials","chrome","Mon May 25 08:48:43 UTC 2026","failed","Mon May 25 08:48:44 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","557","Update an existing user","chrome","Mon May 25 08:48:41 UTC 2026","failed","Mon May 25 08:48:41 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","592","400 on invalid request data","chrome","Mon May 25 08:48:41 UTC 2026","failed","Mon May 25 08:48:41 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
"","541","Delete a user","chrome","Mon May 25 08:48:43 UTC 2026","failed","Mon May 25 08:48:44 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","459","Verify error response has proper structure","chrome","Mon May 25 08:48:43 UTC 2026","failed","Mon May 25 08:48:43 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
"","563","Create user response schema is valid","chrome","Mon May 25 08:48:41 UTC 2026","failed","Mon May 25 08:48:41 UTC 2026","ReqRes JSON schema validation","api/reqres.schema.spec.js","",""
