"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","642","404 on missing user returns empty body","chrome","Mon May 25 10:31:39 UTC 2026","passed","Mon May 25 10:31:40 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
"","188","Failed login with invalid email returns 400","chrome","Mon May 25 10:31:40 UTC 2026","passed","Mon May 25 10:31:40 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","156","Successful registration with valid credentials","chrome","Mon May 25 10:31:40 UTC 2026","passed","Mon May 25 10:31:40 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","356","500 error from external endpoint","chrome","Mon May 25 10:31:40 UTC 2026","passed","Mon May 25 10:31:40 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
"","683","User detail response matches schema","chrome","Mon May 25 10:31:39 UTC 2026","passed","Mon May 25 10:31:39 UTC 2026","ReqRes JSON schema validation","api/reqres.schema.spec.js","",""
"","163","Failed registration with missing password returns 400","chrome","Mon May 25 10:31:40 UTC 2026","passed","Mon May 25 10:31:40 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","288","400 on invalid request data","chrome","Mon May 25 10:31:40 UTC 2026","passed","Mon May 25 10:31:40 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
"","154","Verify error response has proper structure","chrome","Mon May 25 10:31:40 UTC 2026","passed","Mon May 25 10:31:40 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
"","306","User list response schema is valid","chrome","Mon May 25 10:31:40 UTC 2026","passed","Mon May 25 10:31:40 UTC 2026","ReqRes JSON schema validation","api/reqres.schema.spec.js","",""
"","156","Delete a user","chrome","Mon May 25 10:31:40 UTC 2026","passed","Mon May 25 10:31:40 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","299","Update an existing user","chrome","Mon May 25 10:31:40 UTC 2026","passed","Mon May 25 10:31:40 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","33","Read user list and verify response time","chrome","Mon May 25 10:31:40 UTC 2026","passed","Mon May 25 10:31:40 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","175","Create user response schema is valid","chrome","Mon May 25 10:31:40 UTC 2026","passed","Mon May 25 10:31:40 UTC 2026","ReqRes JSON schema validation","api/reqres.schema.spec.js","",""
"","675","Successful login with valid credentials","chrome","Mon May 25 10:31:39 UTC 2026","passed","Mon May 25 10:31:39 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","167","Patch a user job field","chrome","Mon May 25 10:31:40 UTC 2026","passed","Mon May 25 10:31:40 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","158","Failed login with missing password returns 400","chrome","Mon May 25 10:31:39 UTC 2026","passed","Mon May 25 10:31:40 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","654","Create a new user and verify response","chrome","Mon May 25 10:31:39 UTC 2026","passed","Mon May 25 10:31:40 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","22","Get single user by ID","chrome","Mon May 25 10:31:40 UTC 2026","passed","Mon May 25 10:31:40 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
