"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","507","Read user list and verify response time","chrome","Mon May 25 09:12:00 UTC 2026","failed","Mon May 25 09:12:01 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","660","Failed login with missing password returns 400","chrome","Mon May 25 09:11:56 UTC 2026","failed","Mon May 25 09:11:57 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","652","Failed login with invalid email returns 400","chrome","Mon May 25 09:11:58 UTC 2026","failed","Mon May 25 09:11:58 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","513","Failed registration with missing password returns 400","chrome","Mon May 25 09:12:00 UTC 2026","failed","Mon May 25 09:12:01 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","675","User list response schema is valid","chrome","Mon May 25 09:11:57 UTC 2026","failed","Mon May 25 09:11:58 UTC 2026","ReqRes JSON schema validation","api/reqres.schema.spec.js","",""
"","712","404 on missing user returns empty body","chrome","Mon May 25 09:11:54 UTC 2026","failed","Mon May 25 09:11:55 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
"","645","Create user response schema is valid","chrome","Mon May 25 09:11:56 UTC 2026","failed","Mon May 25 09:11:57 UTC 2026","ReqRes JSON schema validation","api/reqres.schema.spec.js","",""
"","514","Delete a user","chrome","Mon May 25 09:11:59 UTC 2026","failed","Mon May 25 09:12:00 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","490","Verify error response has proper structure","chrome","Mon May 25 09:11:58 UTC 2026","failed","Mon May 25 09:11:59 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
"","382","500 error from external endpoint","chrome","Mon May 25 09:11:58 UTC 2026","passed","Mon May 25 09:11:58 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
"","515","Patch a user job field","chrome","Mon May 25 09:11:58 UTC 2026","failed","Mon May 25 09:11:58 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","663","400 on invalid request data","chrome","Mon May 25 09:11:56 UTC 2026","failed","Mon May 25 09:11:57 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
"","526","Create a new user and verify response","chrome","Mon May 25 09:11:54 UTC 2026","failed","Mon May 25 09:11:55 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","650","Update an existing user","chrome","Mon May 25 09:11:56 UTC 2026","failed","Mon May 25 09:11:57 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","503","Get single user by ID","chrome","Mon May 25 09:12:01 UTC 2026","failed","Mon May 25 09:12:02 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","535","User detail response matches schema","chrome","Mon May 25 09:11:54 UTC 2026","failed","Mon May 25 09:11:55 UTC 2026","ReqRes JSON schema validation","api/reqres.schema.spec.js","",""
"","506","Successful registration with valid credentials","chrome","Mon May 25 09:11:59 UTC 2026","failed","Mon May 25 09:11:59 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","678","Successful login with valid credentials","chrome","Mon May 25 09:11:54 UTC 2026","failed","Mon May 25 09:11:55 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
