"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","737","404 on missing user returns empty body","chrome","Mon May 25 10:39:15 UTC 2026","passed","Mon May 25 10:39:16 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
"","158","Verify error response has proper structure","chrome","Mon May 25 10:39:17 UTC 2026","passed","Mon May 25 10:39:17 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
"","691","Successful login with valid credentials","chrome","Mon May 25 10:39:15 UTC 2026","passed","Mon May 25 10:39:16 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","154","Failed login with missing password returns 400","chrome","Mon May 25 10:39:16 UTC 2026","passed","Mon May 25 10:39:16 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","166","Create user response schema is valid","chrome","Mon May 25 10:39:16 UTC 2026","passed","Mon May 25 10:39:16 UTC 2026","ReqRes JSON schema validation","api/reqres.schema.spec.js","",""
"","155","Failed login with invalid email returns 400","chrome","Mon May 25 10:39:16 UTC 2026","passed","Mon May 25 10:39:17 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","304","User list response schema is valid","chrome","Mon May 25 10:39:16 UTC 2026","passed","Mon May 25 10:39:17 UTC 2026","ReqRes JSON schema validation","api/reqres.schema.spec.js","",""
"","762","User detail response matches schema","chrome","Mon May 25 10:39:15 UTC 2026","passed","Mon May 25 10:39:16 UTC 2026","ReqRes JSON schema validation","api/reqres.schema.spec.js","",""
"","296","Update an existing user","chrome","Mon May 25 10:39:16 UTC 2026","passed","Mon May 25 10:39:16 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","159","Successful registration with valid credentials","chrome","Mon May 25 10:39:17 UTC 2026","passed","Mon May 25 10:39:17 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","410","500 error from external endpoint","chrome","Mon May 25 10:39:17 UTC 2026","passed","Mon May 25 10:39:17 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
"","27","Read user list and verify response time","chrome","Mon May 25 10:39:17 UTC 2026","passed","Mon May 25 10:39:17 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","158","Failed registration with missing password returns 400","chrome","Mon May 25 10:39:17 UTC 2026","passed","Mon May 25 10:39:17 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","19","Get single user by ID","chrome","Mon May 25 10:39:17 UTC 2026","passed","Mon May 25 10:39:17 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","287","400 on invalid request data","chrome","Mon May 25 10:39:16 UTC 2026","passed","Mon May 25 10:39:17 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
"","150","Delete a user","chrome","Mon May 25 10:39:17 UTC 2026","passed","Mon May 25 10:39:17 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","680","Create a new user and verify response","chrome","Mon May 25 10:39:15 UTC 2026","passed","Mon May 25 10:39:16 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","160","Patch a user job field","chrome","Mon May 25 10:39:17 UTC 2026","passed","Mon May 25 10:39:17 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
