"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","487","Create a new user and verify response","chrome","Mon May 25 10:51:35 UTC 2026","passed","Mon May 25 10:51:36 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","424","500 error from external endpoint","chrome","Mon May 25 10:51:36 UTC 2026","passed","Mon May 25 10:51:36 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
"","105","Patch a user job field","chrome","Mon May 25 10:51:36 UTC 2026","passed","Mon May 25 10:51:36 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","187","User list response schema is valid","chrome","Mon May 25 10:51:36 UTC 2026","passed","Mon May 25 10:51:36 UTC 2026","ReqRes JSON schema validation","api/reqres.schema.spec.js","",""
"","537","Successful login with valid credentials","chrome","Mon May 25 10:51:35 UTC 2026","passed","Mon May 25 10:51:36 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","537","404 on missing user returns empty body","chrome","Mon May 25 10:51:35 UTC 2026","passed","Mon May 25 10:51:36 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
"","96","Successful registration with valid credentials","chrome","Mon May 25 10:51:36 UTC 2026","passed","Mon May 25 10:51:36 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","102","Failed login with invalid email returns 400","chrome","Mon May 25 10:51:36 UTC 2026","passed","Mon May 25 10:51:36 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","101","Failed registration with missing password returns 400","chrome","Mon May 25 10:51:36 UTC 2026","passed","Mon May 25 10:51:36 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","98","Delete a user","chrome","Mon May 25 10:51:36 UTC 2026","passed","Mon May 25 10:51:36 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","96","Failed login with missing password returns 400","chrome","Mon May 25 10:51:36 UTC 2026","passed","Mon May 25 10:51:36 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","591","User detail response matches schema","chrome","Mon May 25 10:51:35 UTC 2026","passed","Mon May 25 10:51:36 UTC 2026","ReqRes JSON schema validation","api/reqres.schema.spec.js","",""
"","193","400 on invalid request data","chrome","Mon May 25 10:51:36 UTC 2026","passed","Mon May 25 10:51:36 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
"","21","Get single user by ID","chrome","Mon May 25 10:51:36 UTC 2026","passed","Mon May 25 10:51:36 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","211","Create user response schema is valid","chrome","Mon May 25 10:51:36 UTC 2026","passed","Mon May 25 10:51:36 UTC 2026","ReqRes JSON schema validation","api/reqres.schema.spec.js","",""
"","108","Update an existing user","chrome","Mon May 25 10:51:36 UTC 2026","passed","Mon May 25 10:51:36 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","179","Read user list and verify response time","chrome","Mon May 25 10:51:36 UTC 2026","passed","Mon May 25 10:51:36 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","95","Verify error response has proper structure","chrome","Mon May 25 10:51:36 UTC 2026","passed","Mon May 25 10:51:37 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
