"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","456","500 error from external endpoint","chrome","Mon May 25 10:41:14 UTC 2026","passed","Mon May 25 10:41:14 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
"","263","400 on invalid request data","chrome","Mon May 25 10:41:13 UTC 2026","passed","Mon May 25 10:41:14 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
"","280","Create user response schema is valid","chrome","Mon May 25 10:41:13 UTC 2026","passed","Mon May 25 10:41:14 UTC 2026","ReqRes JSON schema validation","api/reqres.schema.spec.js","",""
"","717","Create a new user and verify response","chrome","Mon May 25 10:41:13 UTC 2026","passed","Mon May 25 10:41:13 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","271","Update an existing user","chrome","Mon May 25 10:41:13 UTC 2026","passed","Mon May 25 10:41:14 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","152","Successful registration with valid credentials","chrome","Mon May 25 10:41:14 UTC 2026","passed","Mon May 25 10:41:14 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","154","Failed login with missing password returns 400","chrome","Mon May 25 10:41:13 UTC 2026","passed","Mon May 25 10:41:14 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","152","Delete a user","chrome","Mon May 25 10:41:14 UTC 2026","passed","Mon May 25 10:41:14 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","159","Patch a user job field","chrome","Mon May 25 10:41:14 UTC 2026","passed","Mon May 25 10:41:14 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","284","User list response schema is valid","chrome","Mon May 25 10:41:14 UTC 2026","passed","Mon May 25 10:41:14 UTC 2026","ReqRes JSON schema validation","api/reqres.schema.spec.js","",""
"","52","Read user list and verify response time","chrome","Mon May 25 10:41:14 UTC 2026","passed","Mon May 25 10:41:14 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","37","Get single user by ID","chrome","Mon May 25 10:41:14 UTC 2026","passed","Mon May 25 10:41:14 UTC 2026","ReqRes CRUD operations","api/reqres.crud.spec.js","",""
"","157","Failed login with invalid email returns 400","chrome","Mon May 25 10:41:14 UTC 2026","passed","Mon May 25 10:41:14 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","725","Successful login with valid credentials","chrome","Mon May 25 10:41:13 UTC 2026","passed","Mon May 25 10:41:13 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","154","Failed registration with missing password returns 400","chrome","Mon May 25 10:41:14 UTC 2026","passed","Mon May 25 10:41:14 UTC 2026","ReqRes Authentication flows","api/reqres.auth.spec.js","",""
"","715","404 on missing user returns empty body","chrome","Mon May 25 10:41:13 UTC 2026","passed","Mon May 25 10:41:13 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
"","735","User detail response matches schema","chrome","Mon May 25 10:41:13 UTC 2026","passed","Mon May 25 10:41:13 UTC 2026","ReqRes JSON schema validation","api/reqres.schema.spec.js","",""
"","145","Verify error response has proper structure","chrome","Mon May 25 10:41:14 UTC 2026","passed","Mon May 25 10:41:14 UTC 2026","ReqRes error handling","api/reqres.error.spec.js","",""
